id;title;description;emitted_date;start;jhi_end;all_day;editable;background_color;text_color
1;mobile Games tangible;transition;2020-03-02;2020-03-01;2020-03-02;true;true;Investment Account;Buckinghamshire Principal
2;Buckinghamshire;Chicken invoice Chief;2020-03-01;2020-03-01;2020-03-01;false;true;Russian Federation National;Producer infrastructure transmitting
3;Indiana;Dobra;2020-03-02;2020-03-02;2020-03-02;false;false;Berkshire;Rustic
4;Quality-focused;Lead;2020-03-02;2020-03-02;2020-03-02;true;true;e-business hack Wooden;Buckinghamshire copying
5;Kansas;Avon invoice payment;2020-03-02;2020-03-02;2020-03-02;true;true;Fiji;Soap
6;South Dakota compelling;transmit archive Senior;2020-03-02;2020-03-02;2020-03-02;true;false;matrices Kentucky North Dakota;Poland
7;Division;Producer Maryland blue;2020-03-01;2020-03-01;2020-03-01;true;true;web-readiness architectures;Movies Tasty
8;complexity Lek;Assimilated Bedfordshire;2020-03-02;2020-03-02;2020-03-02;false;true;generate Shoes Chief;Consultant Algerian Dinar
9;Pitcairn Islands local;Investor Harbors;2020-03-02;2020-03-02;2020-03-02;false;false;Metal Bermuda magenta;Intelligent
10;monetize;overriding;2020-03-02;2020-03-01;2020-03-02;true;true;JBOD Handcrafted Developer;XML
